v0101,v0102,v0103,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,N,Nee,Nee,Nee,Nee
Nee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,N,Nee,Nee,Nee,Nee
Ja,Ja,Ja,null,null,null,null,null,null,null,null,null,null,null,null,3,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1D,null,null,null,null,4,V,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2D,null,null,null,null,5,V,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,D,null,null,null,null,6,V,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,12,Nee,null,null,null,7,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,12,Ja_ouder1,null,null,null,8,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,12,Ja_ouder2,null,null,null,9,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,12,Ja_beiden,null,null,null,10,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1,null,Nee,null,null,11,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,1,null,Ja,null,null,12,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2,null,Nee,null,null,13,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,null,null,null,null,null,Nee,2,null,Ja,null,null,14,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Geen_ouders,null,null,null,null,Ja,null,null,null,null,null,15,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,1_of_2_puntouders,null,null,null,null,Ja,null,null,null,null,null,16,N,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Nee,Ja,null,null,Ja,null,null,17,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Nee,null,19,GG,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Een_ouder,null,null,null,Ja,Ja,null,null,null,Ja_beiden,null,22,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_gescheiden,null,null,null,Ja,null,Nee,null,null,null,23,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_gescheiden,null,null,null,Ja,null,Ja_ouder1,null,null,null,24,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_gescheiden,null,null,null,Ja,null,Ja_ouder2,null,null,null,25,OG1,Ja,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Nee_gescheiden,null,null,null,Ja,null,Ja_beiden,null,null,null,26,G,Nee,Nee,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Ja,null,null,null,Ja,null,Nee,null,null,null,27,OG2,Ja,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Ja,null,null,null,Ja,null,Ja_ouder1,null,null,null,28,OG1,Nee,Ja,Nee,Nee
Ja,Ja,Nee,Ja,Twee_ouders,Ja,null,null,null,Ja,null,Ja_ouder2,null,null,null,29,OG1,Ja,Nee,Nee,Nee
